,Symbol
7765,18MP.MU
21791,18MP.SG
22046,18MQ.BE
22052,18MQ.DE
7745,18MQ.DU
7879,18MQ.F
7924,18MQ.MU
8805,18MQ.SG
14140,18MS.BE
23565,18MS.DE
23608,18MS.F
23653,18MS.SG
23668,18MT.BE
8810,18MT.DE
8761,18MT.DU
7641,18MT.F
14027,18MT.HM
23625,18MT.MU
23733,18MT.SG
7963,18MU.BE
7866,18MU.DE
23742,18MU.F
11536,18MU.SG
23692,18MV.BE
23593,18MV.DE
23709,18MV.DU
7976,18MV.F
14363,18MV.SG
8300,18MW.BE
16318,18MW.DE
7778,18MW.DU
27180,18MW.F
27441,18MW.SG
10756,18MX.DE
9060,18MX.F
7992,18MX.SG
23582,18MY.DE
23689,18MY.DU
7680,18MY.F
23657,18MY.SG
27192,18MZ.BE
23666,18MZ.DE
15031,18MZ.DU
14972,18MZ.F
27157,18MZ.SG
33058,19006296.IR
17556,190150.KS
8334,190160.KS
32662,19018413.IR
32600,1902150.IR
17498,190620.KS
38034,1917746.IR
39037,1917746.IR
31604,1918059.IR
29302,1918236.SW
30477,19207419.IR
17654,192090.KS
17245,192720.KS
34826,1927774.SW
34208,19305045.IR
31788,19315302.IR
32799,1939729.IR
43982,19443.AX
41403,1945744.IR
36594,19466655.SW
41265,19467289.IR
31525,19524.AX
43647,19541.AX
34650,19569697.IR
38942,19569767.IR
37941,19569767.IR
12791,19569782.SW
27415,19569792.SW
17203,195920.KS
17603,195930.KS
17215,195970.KS
17572,195980.KS
16778,196030.KS
15536,19611275.SG
16456,196220.KS
17492,196230.KS
30979,19643868.SW
32244,19670119.IR
37206,1969696.IR
42469,19782175.IR
41052,19803607.IR
29227,19808701.IR
38493,19829216.SW
39400,19829216.SW
11248,1985280.SW
20856,19862167.IR
33081,19873040.IR
33942,19893847.SW
44416,19895.AX
41988,19909944.IR
29896,19914200.SW
34927,19914237.IR
12336,1992129.BE
29397,19933934.SW
28593,19942647.IR
40843,19953617.SW
40252,19994459.SW
11745,19AZ.L
22516,19BE.L
19077,19JV.L
9946,19JW.L
24355,19JX.L
20286,19JY.L
22710,19JZ.L
23237,19KF.L
